model,run_id,val_rmse,val_mae,val_r2,test_rmse,test_mae,test_r2
collisions_random_forest,2161a3966c784ce684daff9bf37577af,0.07184047831343991,0.0019372382435632709,0.9880600090579339,0.09460865549950323,0.00815350628714143,0.9837017238769746
collisions_gradient_boosting,fd7188d210504fedb7be5a54aa029374,0.07919918530222007,0.005332360020550226,0.985488677457898,0.10107766965654252,0.012141980324009736,0.9813966836496083
collisions_elastic_net,0551cd0264a742528777c4b4d636722e,0.13061944346037083,0.07834857202266181,0.9605287186617121,0.1606527092218603,0.09706024970359675,0.9530045256470894
